utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
1776576074418,310520578000000,18,,-1460300771840387749,-0.13549423217773438,24.498503989889286,48.35661741651225,12.597119585712457,225,5,0.0,16399,19292337221772,24,29.3,-688.3511352539062,0.09400328993797302,16,0.0,0.0,1575420000,,,,0,,1,1.57,25.7,0.0,0.0,,,C,292668683222858,,6784471.645623542,20048968.29878828,-16196084.528504813,-567.5632421956163,1945.4965243903857,2197.9387143459658,-69523.13357438281,0.00020317177404649556,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576074418,310520578000000,18,,-1460300771840387749,-0.13549423217773438,24.498503989889286,48.35661741651225,12.597119585712457,225,6,0.0,16399,19292346661234,13,35.3,423.4028625488281,0.04289195314049721,16,0.0,0.0,1575420000,,,,0,,1,1.57,31.699999999999996,0.0,0.0,,,C,292668683222858,,-3027658.289362056,16522822.028658915,20592774.409962215,-1857.0248047980363,-1819.3314342430244,1205.311323514051,-182799.19753285026,0.0006705056875944138,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576074418,310520578000000,18,,-1460300771840387749,-0.13549423217773438,24.498503989889286,48.35661741651225,12.597119585712457,225,11,0.0,16399,19292348982508,27,27.9,-19.467042922973633,0.6814999580383301,16,0.0,0.0,1575420000,,,,0,,1,1.57,24.299999999999997,0.0,0.0,,,C,292668683222858,,9439268.798485175,22035332.43030487,11567948.892194387,-1156.2987804347895,-916.3266918540915,2693.751001775953,-110401.36616090807,0.004033561795949936,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576074418,310520578000000,18,,-1460300771840387749,-0.13549423217773438,24.498503989889286,48.35661741651225,12.597119585712457,225,12,0.0,16399,19292342098163,17,32.0,-580.0010986328125,0.05629437416791916,16,0.0,0.0,1575420000,,,,0,,1,1.57,28.4,0.0,0.0,,,C,292668683222858,,12521525.604830438,9339090.339237541,21193985.76794943,-937.1620993635847,2595.9355346909188,-582.5176180435041,-182257.8634725454,-0.0008841603994369507,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576074418,310520578000000,18,,-1460300771840387749,-0.13549423217773438,24.498503989889286,48.35661741651225,12.597119585712457,225,14,0.0,16399,19292341395653,7,40.6,631.3745727539062,0.04620549455285072,16,0.0,0.0,1575420000,,,,0,,1,1.57,37.0,0.0,0.0,,,C,292668683222858,,-12987070.392028749,20880130.441127777,-9539670.062547034,13.185525496423281,-1280.6196230136725,-2824.5101779907923,222973.73725629252,-0.0003283123951405287,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576074418,310520578000000,18,,-1460300771840387749,-0.13549423217773438,24.498503989889286,48.35661741651225,12.597119585712457,225,17,0.0,16399,19292339680889,11,37.5,239.18576049804688,0.051698338240385056,16,0.0,0.0,1575420000,,,,0,,1,1.57,33.9,0.0,0.0,,,C,292668683222858,,-19629908.522477675,13277510.467862377,12625432.420850107,-1545.1102863240992,119.04021380399936,-2577.271119898636,-34830.621437357484,-0.0015692307424615137,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576074418,310520578000000,18,,-1460300771840387749,-0.13549423217773438,24.498503989889286,48.35661741651225,12.597119585712457,225,19,0.0,16399,19292346728084,8,39.7,111.08304595947266,0.03920025750994682,16,0.0,0.0,1575420000,,,,0,,1,1.57,36.1,0.0,0.0,,,C,292668683222858,,-10195756.63551463,15242753.127377084,18946319.75184809,-2434.3029266620774,237.42234006255387,-1548.3997495520543,209113.8253835401,-0.0003917476278729737,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576074418,310520578000000,18,,-1460300771840387749,-0.13549423217773438,24.498503989889286,48.35661741651225,12.597119585712457,225,21,0.0,16399,19292344523068,19,31.4,-571.223876953125,0.0632086768746376,16,0.0,0.0,1575420000,,,,0,,1,1.57,27.799999999999997,0.0,0.0,,,C,292668683222858,,-437532.49453556165,24895063.787012707,-9188172.59781636,-560.5323566323748,1055.1033628238765,2887.8330916234763,124309.72183967134,0.00012253064778633416,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576074418,310520578000000,18,,-1460300771840387749,-0.13549423217773438,24.498503989889286,48.35661741651225,12.597119585712457,225,22,0.0,16399,19292344485549,21,29.6,437.8456115722656,0.08159103989601135,16,0.0,0.0,1575420000,,,,0,,1,1.57,26.0,0.0,0.0,,,C,292668683222858,,-11082299.021763643,24068572.370773397,-3200187.892832504,-98.10272030201274,-506.09774316252424,-3114.589487161437,-4876.228951762738,0.0023276673200598452,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576074418,310520578000000,18,,-1460300771840387749,-0.13549423217773438,24.498503989889286,48.35661741651225,12.597119585712457,225,24,0.0,16399,19292340022355,17,31.6,287.28985595703125,0.05929437652230263,16,0.0,0.0,1575420000,,,,0,,1,1.57,28.0,0.0,0.0,,,C,292668683222858,,,,,,,,,,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
