utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
1776576937418,311383926000000,18,,-1460300771492206457,-0.7937126159667969,41.73083289060742,39.3570328318388,14.37610174319915,915,5,0.0,16399,20155339058174,19,31.2,-685.0769653320312,0.04070867598056793,16,0.0,0.0,1575420000,,,,0,,1,0.19,27.599999999999998,0.0,0.0,,,C,293531679822625,,6357604.971273404,21635313.199816637,-14177305.576009912,-425.40978356996465,1724.1555680246438,2474.5241811661003,-69522.98225784111,0.00014667160576209426,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576937418,311383926000000,18,,-1460300771492206457,-0.7937126159667969,41.73083289060742,39.3570328318388,14.37610174319915,915,6,0.0,16399,20155345256704,35,26.4,450.3680114746094,0.7459999918937683,16,0.0,0.0,1575420000,,,,0,,1,0.19,22.799999999999997,0.0,0.0,,,C,293531679822625,,-4707574.988178408,14962101.710256578,21467647.83192925,-2031.747362286896,-1790.3326046406398,819.6278914572972,-182798.59878305247,0.0007168751035351306,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576937418,311383926000000,18,,-1460300771492206457,-0.7937126159667969,41.73083289060742,39.3570328318388,14.37610174319915,915,11,0.0,16399,20155348801692,9,39.0,44.783905029296875,0.03680919483304024,16,0.0,0.0,1575420000,,,,0,,1,0.19,35.4,0.0,0.0,,,C,293531679822625,,8335455.906250275,21183596.10030984,13795615.13650622,-1402.082912156028,-1050.4599141595515,2462.092229396531,-110397.88265392139,0.004038881612359546,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576937418,311383926000000,18,,-1460300771492206457,-0.7937126159667969,41.73083289060742,39.3570328318388,14.37610174319915,915,12,0.0,16399,20155343569701,24,29.5,-539.1034545898438,2.9694082736968994,16,0.0,0.0,1575420000,,,,0,,1,0.19,25.9,0.0,0.0,,,C,293531679822625,,11777826.191514302,11565555.943559844,20520539.799515843,-785.4089974259598,2555.4346733457214,-976.0208805982376,-182258.61559888837,-0.0008565284952055663,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576937418,311383926000000,18,,-1460300771492206457,-0.7937126159667969,41.73083289060742,39.3570328318388,14.37610174319915,915,14,0.0,16399,20155339375827,19,31.3,669.76416015625,1.7533516883850098,16,0.0,0.0,1575420000,,,,0,,1,0.19,27.7,0.0,0.0,,,C,293531679822625,,-12971245.519251853,19648817.086125404,-11893564.770834835,17.36125234522885,-1570.1123607247887,-2623.300023582686,222973.4574280906,-0.0003183048975188285,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576937418,311383926000000,18,,-1460300771492206457,-0.7937126159667969,41.73083289060742,39.3570328318388,14.37610174319915,915,17,0.0,16399,20155338839043,17,32.1,246.5299835205078,0.0322943739593029,16,0.0,0.0,1575420000,,,,0,,1,0.19,28.5,0.0,0.0,,,C,293531679822625,,-20842525.277178936,13383333.973624557,10310173.212183552,-1262.2877757982692,119.9358588531326,-2781.5595788056976,-34832.01033997101,-0.0016522699806955643,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576937418,311383926000000,18,,-1460300771492206457,-0.7937126159667969,41.73083289060742,39.3570328318388,14.37610174319915,915,19,0.0,16399,20155346241834,13,35.1,127.76287078857422,1.1846539974212646,16,0.0,0.0,1575420000,,,,0,,1,0.19,31.5,0.0,0.0,,,C,293531679822625,,-12215499.833127918,15482708.783256108,17460291.407347586,-2239.9482785410582,313.8727025057836,-1890.994825982432,209113.44044190354,-0.000498282490298152,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576937418,311383926000000,18,,-1460300771492206457,-0.7937126159667969,41.73083289060742,39.3570328318388,14.37610174319915,915,21,0.0,16399,20155345962463,6,43.1,-526.0887451171875,0.03929208219051361,16,0.0,0.0,1575420000,,,,0,,1,0.19,39.5,0.0,0.0,,,C,293531679822625,,-865537.194097056,25683605.10843382,-6629682.97653545,-436.4081339471204,767.9073838249376,3033.6007987391645,124309.82660169863,0.00012047463678754866,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576937418,311383926000000,18,,-1460300771492206457,-0.7937126159667969,41.73083289060742,39.3570328318388,14.37610174319915,915,22,0.0,16399,20155342992068,11,37.3,498.509521484375,0.047198336571455,16,0.0,0.0,1575420000,,,,0,,1,0.19,33.699999999999996,0.0,0.0,,,C,293531679822625,,-11135298.572614469,23496217.930710774,-5856074.045653041,-31.06798711399,-820.7503986645315,-3032.342506750442,-4874.279975112029,0.00218790005237679,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
1776576937418,311383926000000,18,,-1460300771492206457,-0.7937126159667969,41.73083289060742,39.3570328318388,14.37610174319915,915,24,0.0,16399,20155338984969,53,22.6,331.3203125,1.7135000228881836,16,0.0,0.0,1575420000,,,,0,,1,0.19,19.0,0.0,0.0,,,C,293531679822625,,,,,,,,,,0.000000015832483768463135,0.000000014901161193847656,-0.00000011920928955078125,-0.00000011920928955078125,106496.0,65536.0,-196608.0,-196608.0
