utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1651867061999,68236000000,,,-1335902211763640518,0.0,5.361231105169039,340.0,1.0,7,19,0.0,32995,82661929227248,41,37.65656280517578,-407.51817270809147,0.15,25,-27955.25347642696,0.0018741919193416834,1.60368755E9,,,,0,,3,,33.55656433105469,48.42877388000488,2.0000000474974513,48.42877388000488,2.0000000474974513,C,8204951840074
1651867061999,68236000000,,,-1335902211763640518,0.0,5.361231105169039,340.0,1.0,7,17,0.0,32995,82661929092818,33,45.286094665527344,718.6587928399363,0.15,25,49629.94496101395,8.204725454561412E-4,1.60424998E9,,,,0,,3,,41.18609619140625,48.42877388000488,2.0000000474974513,48.42877388000488,2.0000000474974513,C,8204951840074
1651867061999,68236000000,,,-1335902211763640518,0.0,5.361231105169039,340.0,1.0,7,2,0.0,85026,503879914984316,24,35.499732971191406,489.0989290323296,0.5371772251737499,25,32904.277670992735,0.002445563906803727,1.57542003E9,,,,1,,6,,31.399734497070312,-4.423782229423522,1.5000000237487257,-4.423782229423522,1.5000000237487257,C,8204951840074
1651867061999,68236000000,,,-1335902211763640518,0.0,5.361231105169039,340.0,1.0,7,15,0.0,85026,503879918236744,17,42.32011032104492,-308.43133749793355,0.15,25,-20770.82420603508,0.0011755438754335046,1.57542003E9,,,,0,,6,,38.22011184692383,-4.423782229423522,1.5000000237487257,-4.423782229423522,1.5000000237487257,C,8204951840074
1651867061999,68236000000,,,-1335902211763640518,0.0,5.361231105169039,340.0,1.0,7,27,0.0,85026,503879913406223,19,40.86659240722656,-337.7184946353541,0.15,25,-22368.774233310607,0.0013896799646317959,1.57542003E9,,,,0,,6,,36.76659393310547,-4.423782229423522,1.5000000237487257,-4.423782229423522,1.5000000237487257,C,8204951840074
1651867061999,68236000000,,,-1335902211763640518,0.0,5.361231105169039,340.0,1.0,7,30,0.0,85026,503879921563960,23,36.11155700683594,73.28934671365141,0.15,25,5205.641858123969,0.002279228065162897,1.57542003E9,,,,1,,6,,32.011558532714844,-4.423782229423522,1.5000000237487257,-4.423782229423522,1.5000000237487257,C,8204951840074
1651867061999,68236000000,,,-1335902211763640518,0.0,5.361231105169039,340.0,1.0,7,2,0.0,84003,503879914984843,7,33.71971893310547,489.0998151761992,0.6148841942526402,25,33518.67719856648,0.0037465051282197237,1.17645005E9,,,,0,,6,,29.7197208404541,-2.7614412829279895,2.7261864885795557,-2.7614412829279895,1.5000000237487257,Q,8204951840074
1651867061999,68236000000,,,-1335902211763640518,0.0,5.361231105169039,340.0,1.0,7,15,0.0,84003,503879918237264,8,36.381736755371094,-308.4400966892599,0.15,25,-20544.130968647874,0.0029248371720314026,1.17645005E9,,,,0,,6,,32.381736755371094,-9.780214168131348,2.7261864885795557,-9.780214168131348,1.5000000237487257,Q,8204951840074
1651867061999,68236000000,,,-1335902211763640518,0.0,5.361231105169039,340.0,1.0,7,27,0.0,84003,503879913406744,8,33.825077056884766,-337.7207440774846,0.609862557001251,25,-22735.106352385257,0.0037013355176895857,1.17645005E9,,,,0,,6,,29.825077056884766,-6.6402368247508985,2.7261864885795557,-6.6402368247508985,1.5000000237487257,Q,8204951840074
1651867061999,68236000000,,,-1335902211763640518,0.0,5.361231105169039,340.0,1.0,7,30,0.0,84003,503879921564491,8,35.36212158203125,73.23986750739442,0.5422107114041645,25,5360.21519690258,0.0032891412265598774,1.17645005E9,,,,0,,6,,31.36212158203125,-6.27082772552967,2.7261864885795557,-6.27082772552967,1.5000000237487257,Q,8204951840074
